PERIF,KOMMA,PSIFOI2023,PSIFOI2019
Έβρου,ΝΔ,35971,37730
Έβρου,ΣΥΡΙΖΑ-ΠΣ,15503,23103
Έβρου,ΠΑΣΟΚ-Κίνημα Αλλαγής,10249,6852
Έβρου,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,7246,4916
Έβρου,ΚΚΕ,3221,2472
Έβρου,ΝΙΚΗ,2338,0
Έβρου,ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,1359,676
Έβρου,ΜέΡΑ25,1340,2001
Έβρου,Κίνημα 21,875,0
Έβρου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,776,623
Έβρου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,561,0
Έβρου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,542,0
Έβρου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,352,0
Έβρου,ΕΑΝ...,349,0
Έβρου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,347,0
Έβρου,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,315,1107
Έβρου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,315,0
Έβρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,301,242
Έβρου,ΕΛΛΗΝΩΝ ΣΥΝΕΛΕΥΣΙΣ,208,268
Έβρου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,205,0
Έβρου,Τ.ΟΛ.ΜΑ,188,0
Έβρου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ,132,0
Έβρου,ΚΚΕ (μ-λ),96,84
Έβρου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,86,0
Έβρου,ΚΟΙΝΩΝΙΑ ΑΞΙΩΝ - ΦΙΛΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ,76,0
Έβρου,Μ-Λ ΚΚΕ,42,40
Έβρου,Ο.Κ.Δ.Ε.,39,33
Έβρου,ΟΑΚΚΕ,21,0
Έβρου,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,0,0
Έβρου,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,0,0
Έβρου,ΝΕΑ ΔΟΜΗ,0,0
Έβρου,Κ.Ο.Τ.Ε.Σ.,0,0
Έβρου,Δημοσθένης Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,0,0
Έβρου,SOCIAL,0,0
Έβρου,Οικολόγοι ΠΡΑΣΙΝΟΙ - ΠΡΑΣΙΝΗ  ΕΝΟΤΗΤΑ,0,0
Έβρου,Ανεξάρτητοι,0,0
Έβρου,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,165975,-
Έβρου,ΑΚΥΡΑ,2181,-
Έβρου,ΛΕΥΚΑ,644,-
